CD,Year,Target_Presidential_D,Target_Presidential_R,Previous_Presidential_D,Previous_Presidential_R
CA-21,2012,54.6,43.5,52,46
CA-22,2012,41.6,56.6,42,55
CA-23,2012,36.1,61.5,36,61
CA-24,2012,54.1,43.1,56,41
CA-25,2012,47.9,49.7,49,48
CA-26,2012,54,43.7,56,41
CA-27,2012,62.6,35,61,35
CA-28,2012,70.3,26.5,70,26
CA-29,2012,77,20.5,74,23
CA-30,2012,65.3,32.1,66,31
CA-31,2012,57.2,40.6,56,41
CA-32,2012,65.2,32.5,62,35
CA-33,2012,60.6,36.8,64,33
CA-34,2012,83,14.1,77,19
CA-35,2012,67.4,30.6,64,32
CA-36,2012,50.7,47.5,50,47
CA-37,2012,84.9,12.7,84,13
CA-38,2012,64.9,33,61,35
CA-39,2012,47.1,50.8,47,49
CA-40,2012,81.5,16.5,77,19
CA-41,2012,61.5,36.3,59,38
CA-42,2012,41.4,56.5,43,54
CA-43,2012,78,20,75,22
CA-44,2012,84.7,13.6,81,16
CA-45,2012,43,54.8,46,51
CA-46,2012,61.4,36.2,58,39
CA-47,2012,60,37.5,58,39
CA-48,2012,43,54.7,46,51
CA-49,2012,45.7,52.2,49,48
CA-50,2012,37.6,60.4,39,58
CA-51,2012,69.4,28.9,65,32
CA-52,2012,52.1,45.7,55,43
CA-53,2012,61.4,36.4,61,36
CO-01,2012,69,28.8,70.9,27.6
CO-02,2012,57.9,39.5,61.2,37.2
CO-03,2012,45.8,51.8,48.4,49.9
CO-04,2012,39.2,58.5,41.9,56.4
CO-05,2012,38.3,59.1,39.7,58.8
CO-06,2012,51.6,46.5,53.6,44.9
CO-07,2012,56.1,41.3,57.4,40.7
CT-01,2012,63.3,35.6,65.8,32.9
CT-02,2012,55.9,42.6,58.6,40
CT-03,2012,62.6,36.3,62.6,36.2
CT-04,2012,55.1,44,59.6,39.7
CT-05,2012,53.5,45.3,56.4,42.4
DE-AL,2012,58.6,40,61.9,36.9
FL-01,2012,30.1,68.5,32,66.8
FL-02,2012,34,64.6,35.2,63.4
FL-03,2012,41.9,56.6,44.2,54.6
FL-04,2012,32.8,66.1,34.8,64.2
FL-05,2012,63.6,35.4,63.2,35.9
FL-06,2012,46.6,52.2,50.1,48.7
FL-07,2012,49.4,49.4,51.1,48
FL-08,2012,42.1,56.6,43.8,54.9
FL-09,2012,55.6,43.4,54.6,44.5
FL-10,2012,60.7,38.4,60.9,38.5
FL-11,2012,39.8,59.2,42.6,56.1
FL-12,2012,45.5,53,47.4,51.2
FL-13,2012,54.6,43.9,55.5,43
FL-14,2012,57.6,41.2,58.1,40.9
FL-15,2012,46.6,52.2,46.7,52.1
FL-16,2012,45.1,53.7,47.7,51.2
FL-17,2012,41.3,57.6,43.9,54.7
FL-18,2012,47.7,51.4,51.2,47.9
FL-19,2012,38.7,60.5,42.3,56.8
FL-20,2012,82.5,17.1,80.9,18.6
FL-21,2012,60.4,38.9,63.4,35.9
FL-22,2012,56.3,43,58.3,41
FL-23,2012,61.4,38,62,37.3
