,B01001_002E,B01001_026E,B01002_001E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B03002_012E,B05001_002E,B05001_006E,B05012_003E,B06009_002E,B06009_005E,B06011_001E,B09001_001E,B11001_003E,B15012_009E,B15012_010E,B17001_002E,B19001_017E,B19013_001E,B19083_001E,B21001_002E,B23013_001E,B24050_001E,B24050_002E,B24050_005E,B24050_006E,B24050_008E,B24050_009E,B24050_012E,B24050_013E,B24050_021E,B24050_022E,B24050_025E,B24050_027E,B25031_001E,B28007_002E,B28007_003E,B28007_009E,C03001_004E,C03001_005E,C03001_006E,C03001_007E,District_Name,CD,State_Id,State,CD_Id,Incumbent_Rep_Party,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,State_AB
202,364242,390140,32.8,754382,365572,329176,3203,11854,294909,610438,96498,136491,114485,63110,23893,210518,97179,9321,25699,177452,5815,42439,0.4786,29272,38.2,336394,2099,34391,29095,37627,27118,4866,25790,26123,39545,26483,11404,913,357646,334814,22832,265611,3398,1012,332,"Congressional District 30 (114th Congress), Texas",30,48,TX,TX-30,D,79.1,18.3,79.6,19.6,78.0,21.0,TX
203,398015,406959,34.2,804974,612747,92093,2925,38512,195546,695242,42957,85360,40774,119647,31358,216875,152536,15672,41495,85568,13793,65377,0.4316,71974,38.4,373095,4315,23504,36030,42223,14303,8174,25685,35164,50341,23885,24000,995,393960,370756,23204,155500,13920,1625,1418,"Congressional District 31 (114th Congress), Texas",31,48,TX,TX-31,R,40.8,53.5,38.3,59.6,43.0,56.0,TX
204,368008,380518,35.4,748526,517165,102985,2639,58002,194345,586128,96173,154831,65609,136704,33360,179341,135524,16403,59514,95128,29596,66375,0.5246,32149,38.8,396159,4582,26756,32617,45575,16381,13911,38652,34008,44408,28679,7050,1084,412448,395185,17263,161115,2818,1820,691,"Congressional District 32 (114th Congress), Texas",32,48,TX,TX-32,D,48.5,46.6,41.5,57.0,44.0,55.0,TX
205,377805,362518,30.0,740323,503652,121258,2178,14588,496209,484786,194407,248018,182033,33244,21580,233243,94770,4011,12013,181573,2776,39246,0.4213,17788,37.3,323813,3704,56262,39900,32245,20590,3253,14958,17766,25541,36000,6081,819,344488,323112,21376,433599,2586,1187,575,"Congressional District 33 (114th Congress), Texas",33,48,TX,TX-33,D,72.9,23.7,72.0,27.1,69.0,31.0,TX
206,357146,373761,32.2,730907,674766,10181,1967,4473,606908,584180,95429,140042,143436,45094,17943,219693,113369,7261,11264,209455,4727,35642,0.4997,27486,38.6,261555,15683,19712,13886,34761,13320,3378,10678,32018,43736,18254,13746,650,283960,260504,23456,583260,1600,689,162,"Congressional District 34 (114th Congress), Texas",34,48,TX,TX-34,D,59.2,37.7,60.8,38.3,60.0,39.0,TX
207,417801,406108,31.4,823909,627734,72409,5578,15122,519643,665168,107737,143510,118174,67728,22427,212478,104106,7929,20107,167628,3122,43831,0.4284,44003,35.5,393642,3973,43777,21130,50297,18419,8804,20801,29455,43890,47213,19502,952,411255,389537,21718,454403,13031,3366,696,"Congressional District 35 (114th Congress), Texas",35,48,TX,TX-35,D,64.1,30.5,63.0,34.6,63.0,35.0,TX
208,368418,362856,36.9,731274,601057,70454,3600,14982,172054,649576,49563,72939,77303,60335,29648,180267,137021,10142,15446,94899,12783,56885,0.4522,45573,40.5,318524,12050,35602,47288,32773,20601,1831,13467,32467,31927,21192,13939,862,343853,318148,25705,149654,2659,357,52,"Congressional District 36 (114th Congress), Texas",36,48,TX,TX-36,R,25.2,72.0,25.7,73.2,30.0,69.0,TX
209,371546,368851,30.3,740397,663032,7703,7885,10237,95596,688146,27191,44277,34210,84367,27766,231193,145039,13435,25087,78620,9194,63334,0.4150,35123,36.5,344237,10975,21923,49199,40555,15258,5182,18393,35010,32493,20364,27091,832,359148,342955,16193,72223,1922,470,960,"Congressional District 1 (114th Congress), Utah",01,49,UT,UT-01,R,22.4,49.7,20.4,77.4,29.4,67.7,UT
210,378030,372177,32.7,750207,628272,9106,8903,22020,114689,671768,42736,73468,43701,88075,26209,208436,139276,16855,26211,99400,11914,55339,0.4512,35700,36.4,349028,7563,22318,37937,44043,17272,7146,21344,36586,37615,29148,17367,876,361503,347115,14388,83723,3211,1085,992,"Congressional District 2 (114th Congress), Utah",02,49,UT,UT-02,R,32.0,46.0,29.2,68.0,38.4,58.5,UT
211,374233,369068,27.5,743301,672818,4282,12657,15507,76186,686066,30997,49880,26445,106955,24708,234485,144016,15545,29239,88898,14025,66007,0.4445,22350,34.3,347062,4051,22670,28995,42587,11486,9549,23768,46390,39758,24330,11873,970,351737,338339,13398,51604,1151,226,123,"Congressional District 3 (114th Congress), Utah",03,49,UT,UT-03,R,23.3,47.2,19.5,78.3,29.5,67.5,UT
212,382574,379440,31.2,762014,647218,13433,5962,21181,122839,677555,48030,76842,43410,88905,30490,238219,136472,15075,27824,64936,8508,67632,0.3819,26171,37.0,374010,5291,28607,43903,46991,19238,8642,31900,26696,39999,27121,15402,1002,386952,373296,13656,90580,3573,519,1089,"Congressional District 4 (114th Congress), Utah",04,49,UT,UT-04,D,32.4,39.1,30.2,67.2,40.9,56.1,UT
213,308552,317490,43.1,626042,593056,7996,2698,8627,10422,590845,12783,28247,36469,97824,28825,120160,123509,14414,19473,61314,10799,56990,0.4452,40244,42.3,327841,7978,23105,35990,37554,11140,7587,15579,43640,49055,21705,15776,923,332284,320368,11916,2783,1956,738,149,"Congressional District (at Large) (114th Congress), Vermont",00,50,VT,VT-00,,,,,,,,
