CD,Year,Target_Presidential_R,Target_Presidential_D,Previous_Presidential_D,Previous_Presidential_R
WI-02,2016,29.0,65.8,68.3,30.5
WI-03,2016,49.3,44.8,54.8,43.8
WI-04,2016,21.8,74.0,75.3,23.8
WI-05,2016,57.4,37.3,37.7,61.3
WI-06,2016,55.7,38.8,45.8,53.1
WI-07,2016,57.7,37.3,47.8,50.9
WI-08,2016,56.2,38.6,47.6,51.3
WV-01,2016,68.0,26.4,35.5,62.2
WV-02,2016,65.8,29.4,38.0,60.0
WV-03,2016,72.5,23.3,32.8,65.0
WY-AL,2016,70.1,22.5,28.0,69.2
AK-AL,2020,53.1,43.0,37.6,52.8
AL-01,2020,,,34.1,63.5
AL-02,2020,,,33.0,64.9
AL-03,2020,,,32.3,65.3
AL-04,2020,,,17.4,80.4
AL-05,2020,,,31.3,64.7
AL-06,2020,,,26.1,70.8
AL-07,2020,,,69.8,28.6
AR-01,2020,69.1,27.9,30.2,65.0
AR-02,2020,53.1,44.3,41.7,52.4
AR-03,2020,61.9,35.2,30.5,61.9
AR-04,2020,67.7,29.6,31.3,64.2
AZ-01,2020,48.4,50.1,46.6,47.7
AZ-02,2020,43.9,54.5,49.6,44.7
AZ-03,2020,35.7,62.8,62.4,32.5
AZ-04,2020,68.0,30.6,27.5,67.7
AZ-05,2020,56.4,41.9,36.5,57.6
AZ-06,2020,51.4,47.3,42.4,52.4
AZ-07,2020,24.7,73.7,71.8,22.6
AZ-08,2020,57.3,41.4,37.0,58.1
AZ-09,2020,37.3,60.8,54.7,38.4
CA-01,2020,56.4,41.1,36.5,56.2
CA-02,2020,23.9,73.6,69.0,23.3
CA-03,2020,42.7,54.9,53.0,40.4
CA-04,2020,53.7,43.9,39.3,54.0
CA-05,2020,25.3,72.4,69.2,24.3
CA-06,2020,27.2,70.3,69.2,24.4
CA-07,2020,41.9,55.6,52.3,40.9
CA-08,2020,54.0,43.6,39.6,54.7
CA-09,2020,39.9,57.9,56.6,38.0
CA-10,2020,47.4,50.3,48.5,45.5
CA-11,2020,23.6,74.3,71.5,22.7
CA-12,2020,11.9,86.1,86.2,8.7
CA-13,2020,9.0,88.9,87.4,6.8
CA-14,2020,20.5,77.7,76.9,18.2
CA-15,2020,26.4,71.5,69.9,24.2
CA-16,2020,38.9,58.8,58.0,36.4
CA-17,2020,25.5,72.5,73.9,20.5
CA-18,2020,21.3,76.4,73.4,20.2
CA-19,2020,27.9,70.0,72.9,21.5
CA-20,2020,25.0,72.7,70.4,23.2
